# Program:featureCounts v2.0.6; Command:"featureCounts" "--extraAttributes" "Name" "-t" "gene" "-g" "ID" "-F" "GTF" "-T" "16" "-a" "reference.gff" "-o" "countsSRR10379724.txt" "SRR10379724_trimmed.bam" 
Geneid	Chr	Start	End	Strand	Length	Name	SRR10379724_trimmed.bam
gene-SAOUHSC_00001	CP000253.1	517	1878	+	1362	SAOUHSC_00001	13134
gene-SAOUHSC_00002	CP000253.1	2156	3289	+	1134	SAOUHSC_00002	11274
gene-SAOUHSC_00003	CP000253.1	3670	3915	+	246	SAOUHSC_00003	1281
gene-SAOUHSC_00004	CP000253.1	3912	5024	+	1113	SAOUHSC_00004	7056
gene-SAOUHSC_00005	CP000253.1	5034	6968	+	1935	SAOUHSC_00005	11212
gene-SAOUHSC_00006	CP000253.1	7005	9668	+	2664	SAOUHSC_00006	17656
gene-SAOUHSC_00007	CP000253.1	9755	10456	-	702	SAOUHSC_00007	3313
gene-SAOUHSC_00008	CP000253.1	10893	12407	+	1515	SAOUHSC_00008	1269
gene-SAOUHSC_00009	CP000253.1	12786	14072	+	1287	SAOUHSC_00009	37503
gene-SAOUHSC_00010	CP000253.1	14722	15417	+	696	SAOUHSC_00010	2020
gene-SAOUHSC_00012	CP000253.1	15414	15743	+	330	SAOUHSC_00012	1084
gene-SAOUHSC_00013	CP000253.1	16106	17074	+	969	SAOUHSC_00013	4377
gene-SAOUHSC_00014	CP000253.1	17365	18303	+	939	SAOUHSC_00014	6534
gene-SAOUHSC_00015	CP000253.1	18318	20285	+	1968	SAOUHSC_00015	19465
gene-SAOUHSC_00017	CP000253.1	20282	20734	+	453	SAOUHSC_00017	4874
gene-SAOUHSC_00018	CP000253.1	20766	22166	+	1401	SAOUHSC_00018	13297
gene-SAOUHSC_00019	CP000253.1	22444	23727	+	1284	SAOUHSC_00019	8045
gene-SAOUHSC_T00018	CP000253.1	24157	24231	+	75	SAOUHSC_T00018	45
gene-SAOUHSC_T00011	CP000253.1	24239	24311	+	73	SAOUHSC_T00011	202
gene-SAOUHSC_00020	CP000253.1	24931	25632	+	702	SAOUHSC_00020	3670
gene-SAOUHSC_00021	CP000253.1	25645	27471	+	1827	SAOUHSC_00021	10654
gene-SAOUHSC_00022	CP000253.1	27515	28798	+	1284	SAOUHSC_00022	9557
gene-SAOUHSC_00023	CP000253.1	28799	29587	+	789	SAOUHSC_00023	6343
gene-SAOUHSC_00024	CP000253.1	29977	30777	+	801	SAOUHSC_00024	1271
gene-SAOUHSC_00025	CP000253.1	31005	33323	+	2319	SAOUHSC_00025	1151
gene-SAOUHSC_00026	CP000253.1	33555	34034	-	480	SAOUHSC_00026	17
gene-SAOUHSC_00027	CP000253.1	33691	34170	+	480	SAOUHSC_00027	301
gene-SAOUHSC_00028	CP000253.1	34375	34509	-	135	SAOUHSC_00028	30
gene-SAOUHSC_00029	CP000253.1	34473	34565	+	93	SAOUHSC_00029	16
gene-SAOUHSC_00030	CP000253.1	34712	36457	+	1746	SAOUHSC_00030	2234
gene-SAOUHSC_00031	CP000253.1	36551	37003	-	453	SAOUHSC_00031	1978
gene-SAOUHSC_00032	CP000253.1	37019	37120	-	102	SAOUHSC_00032	18
gene-SAOUHSC_00033	CP000253.1	37218	37973	-	756	SAOUHSC_00033	1365
gene-SAOUHSC_00034	CP000253.1	37973	38233	-	261	SAOUHSC_00034	315
